ab_people_rate,cn_count,cn_rate,crawled,fulltime_rate,spider,street_code,white_rate
0.112,79,0.002,,0.37,,s61,0.925
0.314,162,0.005,,0.423,,tn4,0.939
0.24,108,0.002,,0.377,,ba3,0.981
0.19,148,0.003,,0.395,,me8,0.943
0.296,81,0.002,,0.384,,yo4,0.982
0.155,337,0.008,,0.418,,m27,0.938
0.22,150,0.004,,0.406,,bb4,0.913
0.19,142,0.005,,0.447,,wr4,0.941
0.364,790,0.024,,0.381,,n12,0.611
0.24,140,0.004,,0.419,,hd3,0.87
0.452,348,0.015,,0.396,,ha6,0.625
0.189,51,0.006,,0.411,,wv9,0.86
0.414,33,0.005,,0.399,,sl8,0.951
0.212,,,,0.411,,iv8,0.994
0.19,1054,0.085,,0.21,,g4,0.782
0.392,1263,0.023,,0.273,,s10,0.851
0.297,267,0.008,,0.36,,en6,0.886
0.41,67,0.057,,0.512,,m99,0.834
0.159,240,0.005,,0.434,,ph1,0.972
0.23,331,0.01,,0.384,,sr6,0.962
0.156,198,0.005,,0.41,,bb3,0.954
0.348,350,0.008,,0.419,,bs7,0.836
0.107,56,0.002,,0.354,,dn6,0.979
0.151,136,0.005,,0.439,,pe4,0.923
0.335,796,0.015,,0.401,,eh4,0.93
0.146,2,0.0,,0.349,,td8,0.991
0.094,587,0.015,,0.235,,bd7,0.357
0.339,111,0.005,,0.402,,g76,0.969
0.201,,,,0.36,,ph9,0.995
0.174,208,0.007,,0.368,,ss3,0.945
0.108,219,0.006,,0.285,,n18,0.431
0.094,575,0.016,,0.29,,hu6,0.924
0.294,723,0.03,,0.393,,bt7,0.912
0.234,258,0.01,,0.397,,m45,0.895
0.307,,,,0.417,,td2,0.993
0.364,37,0.002,,0.407,,ol3,0.974
0.163,27,0.002,,0.364,,s45,0.98
0.287,1131,0.019,,0.401,,w3,0.554
0.413,23,0.014,,0.425,,eh2,0.907
0.334,47,0.003,,0.437,,sg7,0.937
0.143,17,0.002,,0.344,,tr9,0.987
0.11,93,0.002,,0.347,,l36,0.977
0.329,186,0.007,,0.441,,rg5,0.878
0.089,47,0.001,,0.353,,ky8,0.987
